// Generated by InstanceGenerator.py v0.1
// Juan Francisco Martinez Vera
// AMMM - MIRI, FIB UPC
//
// RAND_SEED=1478122020

bigM=100000;


nLocations=10;
startLocation=4;
distances=[   [0, 13, 27, 12, 23, 19, 25, 5, 26, 12],
    [13, 0, 16, 22, 28, 26, 33, 7, 38, 21],
    [27, 16, 0, 38, 44, 42, 37, 21, 46, 38],
    [12, 22, 38, 0, 13, 8, 150, 16, 29, 0],
    [23, 28, 44, 13, 0, 5, 46, 25, 42, 13],
    [19, 26, 42, 8, 5, 0, 41, 22, 37, 8],
    [25, 33, 37, 150, 46, 41, 0, 27, 12, 33],
    [5, 7, 21, 16, 25, 22, 27, 0, 31, 16],
    [26, 38, 46, 29, 42, 37, 12, 31, 0, 29],
    [12, 21, 38, 0, 13, 8, 33, 16, 29, 0]];
task=[241, 457, 464, 0, 203, 142, 248, 290, 381, 436];
minW=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];
maxW=[720, 720, 720, 720, 720, 720, 720, 720, 720, 720];

/*
nLocations=10;
startLocation=4;
distances=[   [0, 13, 27, 12, 23, 19, 25, 5, 26, 12],
    [13, 0, 16, 22, 28, 26, 33, 7, 38, 21],
    [27, 16, 0, 38, 44, 42, 37, 21, 46, 38],
    [12, 22, 38, 0, 13, 8, 150, 16, 29, 0],
    [23, 28, 44, 13, 0, 5, 46, 25, 42, 13],
    [19, 26, 42, 8, 5, 0, 41, 22, 37, 8],
    [25, 33, 37, 150, 46, 41, 0, 27, 12, 33],
    [5, 7, 21, 16, 25, 22, 27, 0, 31, 16],
    [26, 38, 46, 29, 42, 37, 12, 31, 0, 29],
    [12, 21, 38, 0, 13, 8, 33, 16, 29, 0]];
task=[241, 457, 464, 0, 203, 142, 248, 290, 381, 436];
minW=[200, 35, 200, 0, 10, 200, 148, 413, 82, 95];
maxW=[714, 530, 642, 720, 711, 652, 582, 532, 611, 339];
*/
