// Generated by InstanceGenerator.py v0.1
// Juan Francisco Martinez Vera
// AMMM - MIRI, FIB UPC
//
// RAND_SEED=1484846070

bigM=100000;

nLocations=10;
startLocation=2;
distances=[   [0, 51, 224, 247, 266, 246, 165, 292, 277, 333],
    [51, 0, 276, 290, 272, 274, 161, 246, 226, 308],
    [224, 276, 0, 155, 341, 240, 306, 504, 500, 494],
    [247, 290, 155, 0, 457, 376, 390, 461, 507, 400],
    [266, 272, 341, 457, 0, 119, 113, 476, 365, 577],
    [246, 274, 240, 376, 119, 0, 163, 511, 432, 579],
    [165, 161, 306, 390, 113, 163, 0, 365, 269, 463],
    [292, 246, 504, 461, 476, 511, 365, 0, 160, 173],
    [277, 226, 500, 507, 365, 432, 269, 160, 0, 327],
    [333, 308, 494, 400, 577, 579, 463, 173, 327, 0]]
;
task=[485, 0, 34, 58, 77, 15, 344, 189, 147, 71]
;
minW=[30, 0, 163, 275, 36, 244, 104, 61, 99, 50]
;
maxW=[297, 720, 692, 618, 343, 580, 509, 352, 472, 492]
;
