// Generated by InstanceGenerator.py v0.1
// Juan Francisco Martinez Vera
// AMMM - MIRI, FIB UPC
//
// RAND_SEED=1484826341

bigM=100000;

nLocations=10;
startLocation=4;
distances=[   [0, 36, 219, 52, 113, 62, 209, 128, 69, 72],
    [36, 0, 203, 35, 77, 77, 181, 131, 37, 67],
    [219, 203, 0, 235, 189, 177, 83, 122, 171, 269],
    [52, 35, 235, 0, 82, 109, 206, 166, 65, 33],
    [113, 77, 189, 82, 0, 140, 137, 167, 54, 108],
    [62, 77, 177, 109, 140, 0, 190, 68, 86, 134],
    [209, 181, 83, 206, 137, 190, 0, 161, 144, 237],
    [128, 131, 122, 166, 167, 68, 161, 0, 119, 195],
    [69, 37, 171, 65, 54, 86, 144, 119, 0, 98],
    [72, 67, 269, 33, 108, 134, 237, 195, 98, 0]]
;
task=[557, 461, 105, 0, 470, 242, 91, 48, 266, 344]
;
minW=[20, 27, 234, 0, 63, 34, 115, 37, 43, 18]
;
maxW=[218, 436, 714, 720, 332, 519, 256, 553, 697, 547]
;
