// Generated by InstanceGenerator.py v0.1
// Juan Francisco Martinez Vera
// AMMM - MIRI, FIB UPC
//
// RAND_SEED=1484822392

bigM=100000;

nLocations=10;
startLocation=7;
distances=[   [0, 328, 137, 131, 97, 338, 198, 256, 171, 387],
    [328, 0, 324, 458, 230, 372, 208, 95, 351, 219],
    [137, 324, 0, 220, 151, 203, 126, 289, 38, 300],
    [131, 458, 220, 0, 228, 418, 318, 383, 239, 507],
    [97, 230, 151, 228, 0, 317, 135, 161, 189, 313],
    [338, 372, 203, 418, 317, 0, 196, 390, 179, 214],
    [198, 208, 126, 318, 135, 196, 0, 198, 146, 190],
    [256, 95, 289, 383, 161, 390, 198, 0, 323, 283],
    [171, 351, 38, 239, 189, 179, 146, 323, 0, 303],
    [387, 219, 300, 507, 313, 214, 190, 283, 303, 0]]
;
task=[319, 190, 128, 48, 351, 2, 0, 278, 30, 324]
;
minW=[177, 145, 30, 251, 11, 71, 0, 9, 90, 74]
;
maxW=[364, 644, 625, 517, 712, 560, 720, 475, 664, 235]
;
