// Generated by InstanceGenerator.py v0.1
// Juan Francisco Martinez Vera
// AMMM - MIRI, FIB UPC
//
// RAND_SEED=1484822389

bigM=100000;

nLocations=10;
startLocation=2;
distances=[   [0, 255, 405, 272, 115, 284, 399, 539, 385, 229],
    [255, 0, 191, 286, 140, 265, 219, 284, 289, 160],
    [405, 191, 0, 476, 306, 451, 349, 216, 453, 349],
    [272, 286, 476, 0, 236, 37, 238, 495, 147, 126],
    [115, 140, 306, 236, 0, 232, 297, 424, 310, 145],
    [284, 265, 451, 37, 232, 0, 201, 461, 115, 105],
    [399, 219, 349, 238, 297, 201, 0, 281, 127, 174],
    [539, 284, 216, 495, 424, 461, 281, 0, 408, 386],
    [385, 289, 453, 147, 310, 115, 127, 408, 0, 164],
    [229, 160, 349, 126, 145, 105, 174, 386, 164, 0]]
;
task=[3, 0, 73, 2, 201, 42, 107, 68, 17, 67]
;
minW=[125, 0, 106, 169, 22, 211, 67, 121, 247, 53]
;
maxW=[386, 720, 208, 361, 385, 461, 626, 519, 673, 350]
;
