// Generated by InstanceGenerator.py v0.1
// Juan Francisco Martinez Vera
// AMMM - MIRI, FIB UPC
//
// RAND_SEED=1484822129

bigM=100000;

nLocations=10;
startLocation=1;
distances=[   [0, 214, 303, 166, 206, 243, 171, 238, 307, 331],
    [214, 0, 230, 367, 410, 189, 302, 451, 491, 506],
    [303, 230, 0, 371, 499, 413, 462, 508, 609, 634],
    [166, 367, 371, 0, 178, 405, 272, 150, 296, 332],
    [206, 410, 499, 178, 0, 361, 168, 73, 119, 154],
    [243, 189, 413, 405, 361, 0, 201, 425, 398, 399],
    [171, 302, 462, 272, 168, 201, 0, 238, 199, 207],
    [238, 451, 508, 150, 73, 425, 238, 0, 163, 201],
    [307, 491, 609, 296, 119, 398, 199, 163, 0, 37],
    [331, 506, 634, 332, 154, 399, 207, 201, 37, 0]]
;
task=[0, 202, 111, 112, 281, 114, 263, 96, 65, 21]
;
minW=[0, 152, 246, 105, 145, 85, 147, 112, 210, 114]
;
maxW=[720, 229, 532, 227, 673, 569, 551, 490, 560, 701]
;
